treatment,sales,past_sales,female
0,0,6.56,0
1,0,0,1
0,0,0,0
1,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
1,0,0,1
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,1
0,0,0,0
0,2.95,0,0
0,0,0,1
1,0,0,1
1,0,0,0
0,5.52,0,0
1,0,0,0
1,0,2.75,1
1,0,0,0
0,0,0,1
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,10.25,0,0
1,0,0,1
1,0,0,0
1,0,3.01,0
1,0,0,0
0,0,0,1
0,0,0,1
0,0,4.56,0
0,0,0,1
1,0,0,1
1,0,0,0
0,0,0,1
1,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,1
1,0,0,1
1,0,0,1
0,0,2.79,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,1
0,6.01,0,1
1,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
1,0,0,1
1,0,0,1
1,0,2.75,1
0,0,0,1
1,0,0,1
1,0,0,0
1,0,0,1
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,5.92,0
0,0,0,0
0,0,0,0
1,7.18,0,0
0,6.33,5.93,0
0,0,0,0
0,0,0,1
1,0,0,0
1,0,0,1
0,0,4.19,0
1,0,0,0
1,0,0,0
0,0,0,1
1,0,8.49,0
1,0,0,0
1,7.16,0,0
1,0,0,1
1,0,0,1
0,0,0,0
0,0,0,1
0,11.31,0,0
0,0,0,1
1,0,0,0
1,0,0,0
1,0,0,0
0,3.02,0,0
1,0,6.22,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,1
0,0,0,1
1,0,0,0
1,0,0,0
1,0,0,1
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,1
1,0,0,0
0,0,0,0
1,9.75,0,1
1,0,0,1
1,0,0,1
0,0,0,0
1,0,0,1
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,1
1,0,2.75,1
0,0,0,0
1,0,0,1
1,0,0,0
0,0,0,0
1,0,0,1
1,0,0,0
1,0,0,0
0,0,0,1
0,0,3.63,0
1,0,0,1
1,0,0,0
1,0,0,1
1,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,1
0,3.31,0,0
0,0,0,0
0,0,0,1
1,0,0,1
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,1
0,0,1.41,0
1,0,0,1
1,0,0,0
1,0,0,1
1,0,0,0
0,0,0,0
1,0,3.89,0
1,9.77,0,1
1,0,0,1
1,0,0,0
0,0,0,1
1,0,0,0
1,0,0,1
0,6.38,3.05,0
0,0,0,1
1,0,0,0
1,0,0,0
1,0,0,1
1,0,3.77,0
0,0,0,0
1,0,0,1
1,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
1,0,0,1
0,0,0,0
1,0,0,1
1,0,0,0
0,0,0,1
1,0,0,1
1,0,0,0
0,0,0,1
1,0,0,0
1,0,0,1
1,0,3.78,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,10.09,0,0
1,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
1,0,0,1
1,0,0,1
0,0,0,0
0,0,0,1
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,1
1,0,0,0
0,0,0,1
0,0,0,1
1,0,0,1
1,3.71,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,4.78,0
0,0,0,1
0,0,0,0
1,0,3.54,0
0,0,0,1
1,0,0,1
0,8.41,0,1
1,0,0,0
1,0,5.8,1
0,0,0,1
1,0,0,1
1,0,0,0
1,0,0,1
1,0,2.52,0
0,0,0,1
0,2.85,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,8.58,0
1,0,0,1
1,0,0,0
0,0,0,0
1,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
1,3.48,0,0
0,0,0,0
0,0,0,0
0,0,0,1
1,0,0,0
