sales,age,coupon
42.668,38,1
20.244,32,1
46.992,42,1
57.696,35,1
44.235,31,1
50.282,42,1
55.955,41,1
40.036,40,1
36.471,40,1
60.666,39,1
38.216,36,0
32.872,36,1
42.201,32,0
26.775,35,1
47.725,33,0
42.892,37,0
47.125,37,0
37.926,37,1
17.386,33,1
53.985,37,0
33.578,35,1
39.497,37,1
36.794,38,1
76.312,38,1
45.276,37,0
38.977,24,1
37.932,41,1
31.313,37,1
33.276,33,1
44.899,34,1
40.063,41,1
24.778,36,1
49.59,33,1
37.357,38,1
44.031,41,0
59.804,36,1
48.389,34,1
48.179,46,1
31.918,24,1
44.258,35,0
50.805,28,1
30.553,26,1
42.247,28,1
39.775,44,0
42.019,28,0
36.594,37,1
47.195,34,0
42.52,32,1
50.663,41,1
42.484,38,1
44.633,36,1
55.439,38,1
34.368,43,1
43.985,40,1
45.196,33,0
57.064,32,1
63.532,36,1
40.542,37,1
32.489,32,1
47.422,37,1
42.447,34,1
39.325,34,1
35.614,40,1
50.077,44,0
33.053,40,1
37.107,37,1
44.044,36,1
48.438,38,1
34.307,29,1
47.996,42,1
45.356,34,1
33.768,34,1
45.926,39,0
27.644,24,1
28.92,31,1
44.183,34,1
18.357,28,1
50.416,44,0
38.931,35,1
51.818,39,1
54.183,33,1
36.887,34,1
34.68,38,1
40.198,30,1
23.388,45,0
33.803,38,0
53.752,36,1
41.714,36,1
51.339,43,0
38.611,30,1
44.171,28,1
53.194,28,1
54.746,30,1
47.303,40,1
23.287,28,1
27.858,35,1
32.426,30,1
60.76,34,1
56.3,32,1
33.533,32,1
42.777,31,1
51.127,34,1
34.957,25,1
40.158,36,0
51.999,30,1
37.759,40,1
39.223,43,0
33.103,30,1
29.105,39,1
39.26,40,1
31.976,29,1
57.168,37,1
33.499,31,1
49.971,44,0
52.876,35,1
35.793,35,1
58.79,35,1
44.853,44,1
52.543,29,1
36.008,29,1
39.392,34,1
43.85,38,1
39.855,30,1
42.158,32,1
44.681,33,1
51.511,34,1
38.304,39,0
33.752,33,1
43.342,42,0
33.3,34,0
48.251,42,0
34.603,26,1
35.718,34,1
42.565,41,0
41.709,40,1
40.698,41,0
46.344,36,0
30.616,44,0
22.88,37,0
45.198,27,1
48.904,33,1
43.777,28,1
38.934,37,1
42.866,37,1
44.816,36,1
41.841,27,0
45.041,33,0
30.772,29,1
54.89,32,1
41.15,35,0
34.708,37,0
39.385,39,1
47.194,38,1
60.007,32,1
57.792,37,1
46.849,42,0
43.369,35,1
42.191,42,0
41.281,33,1
50.309,42,0
44.379,33,0
50.733,36,1
56.032,31,1
41.148,31,0
47.589,31,1
44.06,27,1
39.61,28,1
36.2,35,1
40.986,35,0
34.078,39,1
42.096,37,0
58.031,34,0
39.826,34,0
31.289,32,0
39.057,30,1
39.223,33,1
38.303,30,0
44.797,34,1
29.376,32,0
39.315,34,0
40.219,27,1
22.961,36,1
29.484,27,1
23.722,32,1
63.922,39,1
33.511,50,0
40.458,27,1
32.8,31,1
25.337,28,1
43.76,35,1
42.805,34,1
42.098,37,1
65.065,37,1
44.572,37,0
45.534,31,1
35.567,35,1
46.158,30,1
40.588,25,1
28.326,28,1
43.141,39,1
49.15,38,1
34.112,42,1
33.081,32,1
46.865,32,0
35.12,31,0
37.351,40,0
36.869,32,1
40.386,34,1
49.294,36,1
25.996,33,1
37.345,42,0
49.368,40,1
60.15,34,1
36.934,38,1
52.631,40,1
38.767,36,1
46.619,30,1
61.001,42,1
48.989,40,1
41.573,32,1
43.078,27,1
34.202,29,1
42.674,38,1
51.238,41,0
37.873,31,1
31.464,35,0
41.105,32,1
32.707,33,1
38.416,28,1
17.316,35,0
46.851,32,1
39.062,35,1
45.421,40,1
48.994,36,1
42.114,37,1
56.186,42,1
30.804,30,0
31.702,30,1
34.628,40,0
43.596,27,1
47.295,42,0
49.424,32,1
45.439,31,1
42.138,34,0
59.419,32,1
37.12,33,1
61.929,24,1
48.728,35,1
51.977,39,1
41.068,41,0
39.847,37,1
58.013,27,1
47.044,32,1
24.622,25,1
32.755,41,1
44.789,34,1
36.03,39,1
40.346,34,0
50.251,38,0
67.33,30,1
64.58,31,1
45.949,37,1
34.292,29,1
55.891,34,1
37.915,34,1
56.268,40,0
38.968,35,1
28.069,26,1
31.249,31,1
32.059,34,0
30.67,39,1
30.247,35,0
51.096,40,1
51.052,33,1
47.839,30,1
34.442,36,1
51.278,30,0
35.808,33,1
53.149,43,0
38.188,41,0
47.876,45,0
53.203,36,1
48.754,24,1
31.525,33,1
38.095,28,1
30.133,35,0
30.736,36,1
19.862,23,1
64.069,36,1
31.358,33,1
34.275,29,1
54.44,28,1
51.916,35,0
46.73,34,1
21.67,46,0
51.048,33,1
32.833,32,0
31.259,37,1
47.15,22,1
46.528,40,0
59.277,33,1
61.8,27,1
44.09,32,1
48.509,38,1
49.151,36,1
43.959,29,1
49.883,40,1
47.411,37,1
33.241,36,1
51.589,36,1
52.091,44,0
35.337,39,1
25.38,28,1
33.251,38,0
40.693,30,1
53.386,37,1
37.138,34,1
57.85,35,1
25.787,36,0
32.084,27,1
36.081,43,0
52.803,31,1
52.049,32,1
27.479,35,1
36.102,25,1
36.104,34,0
26.87,32,1
42.451,32,1
38.304,34,1
54.375,38,0
49.889,33,1
37.854,30,1
58.218,32,1
50.628,40,1
32.855,41,0
57.884,31,1
40.109,39,1
47.811,40,1
36.965,36,0
55.673,32,1
38.837,36,1
42.802,45,1
51.097,49,0
39.759,32,1
48.854,36,1
41.252,35,1
46.784,37,1
42.749,26,1
35.931,34,0
40.266,33,1
30.588,38,0
56.267,31,1
50.444,35,0
61.003,40,0
58.826,38,1
45.302,22,1
42.708,37,1
37.165,35,0
40.56,40,1
35.036,28,1
27.754,38,1
46.221,42,1
47.198,32,1
59.425,37,0
50.189,23,1
58.643,31,0
41.492,39,1
51.394,37,1
43.483,39,1
27.438,35,1
54.871,42,1
30.896,28,1
49.283,43,1
35.699,31,1
49.936,38,1
44.696,30,1
35.83,33,0
50.357,34,1
48.947,38,0
28.001,43,0
39.265,31,0
44.424,31,1
40.773,46,1
41.198,38,1
64.409,40,1
36.565,36,1
50.08,40,0
47.609,37,1
38.057,41,1
58.374,38,1
58.147,42,0
48.517,38,1
39.347,37,1
42.301,38,1
34.165,38,1
33.967,37,1
52.921,43,0
39.569,37,1
39.76,38,1
48.614,39,1
28.978,42,0
49.277,28,1
30.204,28,1
55.378,35,1
53.69,37,1
42.212,38,1
56.023,35,0
49.02,44,1
42.988,34,1
53.376,35,1
62.135,34,1
60.472,46,1
68.503,40,0
23.604,32,1
28.998,35,1
49.636,39,1
58.737,38,0
43.674,24,1
32.467,35,1
57.956,35,1
49.777,34,0
40.675,38,1
35.737,35,1
43.522,24,1
38.975,36,1
22.683,25,1
37.547,36,1
64.549,36,1
46.608,41,1
66.58,29,1
35.32,35,1
56.516,23,1
41.537,39,1
51.698,41,1
14.324,36,1
46.266,31,1
43.904,30,1
45.353,35,1
46.991,32,0
48.693,50,0
44.692,37,1
38.913,34,1
39.139,33,1
35.22,33,0
41.206,43,0
22.567,35,1
28.574,31,1
37.952,31,1
34.953,40,1
37.785,40,1
51.351,42,0
52.654,36,1
33.458,38,0
47.251,32,1
54.669,36,0
46.057,33,1
39.709,36,1
44.166,35,0
30.755,31,1
43.213,35,1
52.508,32,1
58.69,39,1
67.141,37,0
38.679,32,1
57.413,34,0
43.311,40,1
37.43,37,1
27.751,32,0
33.894,41,0
56.46,27,1
39.122,25,1
45.175,39,0
42.053,34,0
47.727,34,1
32.977,40,0
42.129,27,1
46.38,35,1
48.966,32,1
58.855,37,0
28.945,41,0
38.582,36,1
42.43,29,1
29.157,30,0
37.717,32,1
33.174,39,0
61.957,36,1
48.044,33,0
29.075,29,1
61.112,35,1
44.016,37,1
48.125,34,1
44.813,33,1
24.795,28,0
47.908,36,1
41.433,33,1
38.651,32,1
17.894,43,0
42.461,44,0
34.337,39,1
31.431,27,1
32.946,34,1
23.829,38,1
25.675,38,1
39.236,40,1
47.647,37,1
25.993,36,1
35.677,34,1
59.096,26,1
31.459,31,0
33.645,39,0
52.591,40,1
35.075,31,1
33,29,1
17.701,36,1
41.675,36,1
47.702,38,0
49.722,40,0
49.778,37,1
41.008,40,0
44.018,34,1
46.708,39,1
30.432,34,1
32.127,34,0
44.576,25,1
37.592,31,1
41.101,40,0
59.279,37,1
65.128,36,0
43.76,39,1
33.392,32,1
27.242,28,1
38.328,40,0
50.745,37,1
60.185,28,1
27.582,27,1
37.014,35,1
35.253,30,1
46.989,38,1
45.346,38,0
30.949,30,1
22.344,34,1
30.079,31,1
53.624,33,1
26.175,35,1
28.44,31,1
49.728,49,0
29.574,41,0
52.884,48,0
38.469,30,1
48.57,34,1
63.54,34,1
46.49,31,1
43.295,22,1
44.255,36,0
29.17,35,1
39.629,37,1
39.432,41,0
65.515,36,0
65.15,43,1
28.08,32,1
42.656,40,1
33.417,37,1
27.868,34,1
48.884,30,1
38.061,36,1
43.392,45,0
55.62,37,1
37.513,41,1
46.484,40,1
45.198,33,1
28.997,26,1
32.55,43,1
38.937,29,1
39.87,30,1
41.755,32,1
35.203,24,1
48.553,44,0
34.362,34,1
46.348,23,1
42.529,34,1
39.714,35,0
39.478,40,0
28.213,22,1
43.319,41,0
52.071,41,1
31.775,38,1
35.151,40,1
34.498,43,0
36.616,38,0
51.01,28,1
57.03,38,1
48.519,34,1
28.046,35,1
40.216,33,1
43.063,34,1
45.689,35,1
52.198,27,1
46.879,41,1
41.481,28,1
31.048,38,0
45.073,41,1
31.21,38,0
28.715,31,1
38.508,38,1
24.375,35,0
45.856,31,1
41.321,21,1
36.462,32,1
32.689,41,1
44.716,34,1
50.012,37,0
27.001,32,0
51.474,36,1
19.418,34,1
52.432,37,0
33.003,33,1
51.008,26,1
44.409,43,0
36.279,35,0
47.68,43,1
46.988,43,0
30.681,29,1
29.345,34,1
66.083,35,1
41.887,38,1
32.552,36,0
33.073,37,1
39.282,41,0
31.5,34,0
36.192,37,1
52.57,38,1
56.841,31,1
41.711,35,0
7.3891,29,1
39.624,25,1
42.754,37,1
62.28,39,0
34.424,39,0
38.493,40,1
38.686,34,1
39.018,35,1
47.436,33,1
41.113,37,1
43.657,42,0
46.642,40,1
33.833,37,1
37.723,47,0
43.655,43,1
41.042,29,1
40.497,40,1
58.614,35,1
45.114,37,0
40.067,35,1
45.655,32,1
55.108,30,1
38.759,24,1
47.432,39,1
56.686,27,1
58.888,39,1
39.684,34,1
33.43,35,1
34.847,33,1
52.126,41,1
25.754,41,1
36.378,39,1
57.884,35,1
36.317,39,0
40.668,29,1
18.696,42,0
46.985,31,0
38.156,38,0
42.734,30,1
22.708,33,1
46.293,33,1
23.141,30,1
27.309,38,0
47.942,36,0
54.425,35,1
40.219,33,1
49.067,34,1
54.93,40,0
51.265,34,1
40.812,40,0
31.023,38,1
44.128,41,0
55.724,27,1
57.8,32,1
44.663,42,0
43.235,31,1
49.808,38,1
46.315,42,0
43.667,28,1
32.201,38,1
33.97,29,1
43.403,27,1
54.147,38,1
46.517,32,0
60.34,28,1
53.051,32,1
40.231,42,0
38.595,30,1
43.583,40,1
40.314,41,1
23.703,30,1
64.327,32,1
32.566,22,1
39.562,33,1
39.986,39,0
45.314,36,0
50.671,32,1
29.326,32,0
45.914,40,1
37.075,28,1
33.978,33,1
44.213,32,1
48.075,30,1
60.068,30,1
48.877,32,1
31.754,30,0
45.145,35,1
33.559,37,0
44.867,38,1
43.482,29,1
40.587,33,1
33.066,35,0
50.938,30,1
36.22,36,1
27.54,31,0
44.288,33,1
45.365,32,0
57.752,32,1
37.657,35,1
36.848,35,1
45.752,34,1
45.337,33,1
51.621,27,1
62.151,38,1
44.852,36,0
53.199,37,0
47.558,31,1
47.249,35,1
43.298,31,1
49.729,28,1
43.944,38,0
44.454,33,0
45.523,35,1
31.397,33,1
35.615,33,0
53.625,33,1
33.992,39,1
52.919,35,0
53.487,37,1
71.702,37,1
46.673,37,0
35.325,41,0
50.739,27,1
67.95,41,1
47.767,26,1
52.762,31,1
40.496,41,1
38.84,32,1
38.326,33,1
45.918,32,1
44.413,41,1
