id,loyalty,feat.sunshine,feat.keebler,feat.nabisco,feat.private,price.sunshine,price.keebler,price.nabisco,price.private,choice
1,1,0,0,0,0,0.98,0.88,1.20,0.71,nabisco
1,0,0,0,0,0,0.99,1.09,0.99,0.71,nabisco
1,1,0,0,0,0,0.49,1.09,1.09,0.78,sunshine
1,1,0,0,0,0,1.03,1.09,0.89,0.78,nabisco
1,0,0,0,0,0,1.09,1.09,1.19,0.64,nabisco
1,1,0,0,0,0,0.89,1.09,1.19,0.84,nabisco
1,1,0,0,0,0,1.09,1.09,1.29,0.78,sunshine
1,0,0,0,0,0,1.09,1.19,1.29,0.78,nabisco
1,1,0,0,0,0,1.09,1.21,1.09,0.78,nabisco
1,0,0,0,0,0,0.79,1.21,1.09,0.78,nabisco
1,1,0,0,0,0,1.09,1.13,1.09,0.96,nabisco
1,1,0,0,0,0,1.09,1.21,0.99,0.86,nabisco
1,1,0,0,0,0,0.89,1.21,0.99,0.86,nabisco
1,0,0,0,0,0,1.09,1.09,1.29,0.96,nabisco
1,1,0,0,0,0,1.09,1.09,1.29,0.79,nabisco
1,0,0,0,0,0,1.29,1.04,1.29,0.96,nabisco
2,1,0,0,0,0,0.79,0.99,0.69,0.69,nabisco
2,1,1,0,0,0,0.69,1.05,0.89,0.65,sunshine
2,0,1,0,0,0,0.79,1.25,1.06,0.69,sunshine
2,1,0,0,0,0,0.79,1.25,1.06,0.69,sunshine
2,0,0,0,0,0,0.79,1.25,0.99,0.69,sunshine
2,0,0,0,1,1,0.97,1.15,1.09,0.57,sunshine
2,1,0,0,0,0,0.79,1.35,1.09,0.65,sunshine
2,1,0,0,0,0,0.97,0.99,1.25,0.60,keebler
2,0,0,0,0,0,1.09,1.35,1.29,0.73,sunshine
2,0,0,0,0,0,1.09,1.35,1.15,0.76,sunshine
2,1,0,0,0,0,1.05,1.25,0.99,0.59,nabisco
2,0,0,1,0,0,1.05,0.99,1.29,0.59,keebler
2,0,0,0,0,0,0.89,1.35,1.04,0.89,sunshine
2,1,0,0,0,0,1.05,1.29,0.99,0.59,nabisco
2,1,0,0,0,0,1.05,1.29,0.99,0.65,nabisco
2,0,0,0,0,0,1.05,1.29,1.29,0.65,sunshine
3,0,0,0,0,0,0.68,0.88,0.88,0.59,nabisco
3,0,0,0,0,0,0.99,1.09,0.99,0.79,private
3,0,0,0,0,0,1.03,1.09,0.89,0.55,private
3,0,0,0,0,1,0.89,1.04,0.99,0.50,private
3,1,0,0,0,0,0.98,1.09,0.89,0.69,private
3,1,0,0,0,0,1.09,1.09,1.19,0.89,private
3,0,0,0,0,0,0.97,1.15,0.99,0.61,nabisco
3,0,0,0,0,0,0.97,1.25,1.09,0.61,nabisco
3,0,0,1,0,0,0.97,0.99,1.25,0.61,nabisco
3,1,0,0,0,0,0.79,1.21,1.09,0.89,private
3,1,0,0,0,0,1.03,1.09,1.09,0.61,nabisco
3,0,0,0,0,0,1.09,1.29,1.25,0.61,nabisco
3,0,0,0,0,0,1.05,1.29,1.25,0.61,nabisco
3,1,0,0,0,1,0.93,1.19,0.98,0.68,private
4,0,0,0,0,0,0.98,0.99,1.09,0.55,private
4,0,0,0,0,0,0.99,1.09,0.95,0.55,private
4,1,0,0,0,0,0.99,1.09,0.99,0.55,private
4,1,0,0,0,0,0.89,0.99,1.13,0.69,private
4,0,0,0,0,0,1.03,1.09,0.89,0.55,private
4,0,0,0,0,0,0.79,1.05,1.09,0.55,private
4,0,0,0,0,0,1.03,1.09,1.19,0.55,private
4,0,0,0,0,0,0.99,1.19,0.99,0.55,private
4,0,0,0,0,0,1.09,1.19,0.99,0.55,private
4,0,0,0,0,0,0.89,1.09,1.19,0.55,private
4,0,0,0,0,0,0.98,1.19,0.99,0.55,private
4,1,0,0,0,0,0.98,1.19,0.99,0.55,private
4,0,0,0,0,0,0.98,1.21,1.19,0.55,private
4,1,0,0,0,0,0.98,1.21,1.19,0.55,private
4,1,0,0,0,0,0.98,1.21,1.19,0.55,private
4,0,0,0,0,0,0.98,1.19,1.29,0.55,private
4,0,0,0,0,0,0.98,1.19,1.29,0.55,private
4,1,0,0,0,0,0.98,1.21,1.09,0.55,private
4,0,0,0,0,0,0.79,1.21,1.09,0.55,private
4,0,0,0,0,0,1.09,1.09,1.09,0.59,private
4,0,0,0,0,0,1.09,1.21,1.29,0.59,private
4,0,0,0,0,0,1.09,1.21,1.09,0.59,private
4,1,0,0,0,0,0.89,1.21,0.99,0.59,private
4,1,0,0,0,0,1.09,1.09,1.29,0.59,private
4,0,0,0,0,0,1.19,1.29,1.29,0.89,private
4,0,0,0,0,0,0.95,1.25,0.99,0.59,private
4,0,0,0,0,0,0.95,1.19,1.29,0.59,private
4,0,0,0,0,0,0.95,1.04,0.99,0.59,private
4,0,0,0,0,0,0.95,1.04,1.23,0.59,private
5,0,0,0,0,0,0.69,0.89,1.06,0.68,keebler
5,1,0,0,0,0,0.89,1.08,0.89,0.68,nabisco
5,0,0,0,0,0,0.98,1.09,0.89,0.78,nabisco
5,1,0,0,0,0,0.99,1.09,1.19,0.71,keebler
5,1,0,0,0,0,0.89,1.09,1.19,0.84,nabisco
5,0,0,1,0,0,1.09,0.99,1.26,0.68,keebler
5,0,0,0,0,0,0.88,1.25,1.09,0.65,keebler
5,1,0,0,0,0,0.97,0.99,1.25,0.61,keebler
5,1,0,1,1,0,1.04,1.09,1.09,0.68,keebler
5,0,0,0,0,0,0.97,1.25,1.25,0.65,keebler
5,1,0,0,0,0,1.09,1.21,1.09,0.84,nabisco
5,0,0,0,0,0,1.05,1.25,1.29,0.65,keebler
5,1,0,0,0,0,1.05,1.25,0.99,0.61,keebler
5,1,0,0,1,0,1.05,0.99,0.99,0.65,keebler
6,0,0,0,0,0,0.69,0.88,0.89,0.67,private
6,0,0,0,0,0,0.85,0.98,0.89,0.68,nabisco
6,1,0,0,0,0,0.99,1.09,0.99,0.55,private
6,0,0,0,0,0,1.03,1.09,0.89,0.55,private
6,0,0,0,0,0,1.03,1.09,0.77,0.78,nabisco
6,0,0,0,0,0,0.79,1.05,1.09,0.55,private
6,0,0,0,0,0,0.98,1.09,0.89,0.55,private
6,0,0,0,0,0,0.89,1.02,1.15,0.65,nabisco
6,0,0,0,0,0,1.03,1.09,1.19,0.55,private
6,1,0,0,0,0,1.09,1.09,1.19,0.55,private
6,0,0,0,0,0,1.09,1.09,1.19,0.55,private
6,0,0,0,0,0,0.89,1.15,0.99,0.60,nabisco
6,1,0,0,0,0,1.09,1.19,0.74,0.71,nabisco
6,0,0,0,0,0,1.09,1.19,0.99,0.55,private
6,0,0,0,0,0,0.98,1.19,0.99,0.55,private
6,1,0,0,0,0,0.98,1.19,0.99,0.55,private
6,1,0,0,0,0,0.98,1.09,1.29,0.55,private
