store,month,sales,price,promo
1,1,79.736,3.1928,0
1,2,126.91,3.1573,0
1,3,73.507,3.2113,0
1,4,78.167,3.4091,0
1,5,110.35,3.0415,1
1,6,138.72,3.3188,0
1,7,141.14,3.3008,0
1,8,70.595,3.2498,1
1,9,128.2,3.2799,0
1,10,125.58,3.3522,0
1,11,128.48,3.253,0
1,12,126.22,3.2116,0
2,1,99.853,3.2529,1
2,2,94.224,3.2646,1
2,3,124.51,3.1552,0
2,4,126.7,3.0619,0
2,5,126.62,3.3925,0
2,6,118.25,3.2605,1
2,7,120.25,3.3606,0
2,8,146.02,3.2662,0
2,9,97.705,3.3543,0
2,10,114.33,3.3997,1
2,11,130.79,3.2967,0
2,12,150.72,3.2511,0
3,1,114.44,1.8226,0
3,2,82.279,1.8743,0
3,3,123.7,1.8928,0
3,4,110.49,1.7433,0
3,5,89.824,1.9415,0
3,6,80.509,1.8061,0
3,7,70.16,1.9836,0
3,8,145.07,1.7929,0
3,9,83.605,2.0785,0
3,10,120.33,1.9185,1
3,11,92.085,1.9511,0
3,12,88.771,1.9985,0
4,1,91.056,2.898,0
4,2,92.688,2.8429,0
4,3,108.6,2.8587,0
4,4,102.89,2.9172,0
4,5,107.95,2.9406,0
4,6,146.22,2.9002,1
4,7,97.385,2.7476,0
4,8,108.24,2.8542,0
4,9,124.1,2.7781,0
4,10,144.87,2.8476,0
4,11,110.77,3.018,0
4,12,97.368,2.921,0
5,1,106.14,4.2793,0
5,2,119.03,4.351,0
5,3,79.771,4.1776,1
5,4,126.92,4.1933,0
5,5,117.7,4.1279,0
5,6,132.14,4.2777,0
5,7,125.6,4.15,1
5,8,132.44,4.2198,1
5,9,141.77,4.2445,1
5,10,123.28,4.1859,0
5,11,124.77,4.3161,0
5,12,131.77,4.2416,0
6,1,92.71,2.881,0
6,2,144.8,2.9349,0
6,3,105.35,3.0481,1
6,4,101.76,3.1124,0
6,5,140.06,2.9849,0
6,6,109.34,2.9358,0
6,7,119.02,2.9842,1
6,8,98.572,3.0634,0
6,9,164.57,2.9563,1
6,10,65.401,3.1834,1
6,11,96.141,2.9301,0
6,12,118.1,2.8417,0
7,1,116.23,3.7317,0
7,2,123.17,3.6867,1
7,3,104.43,3.7788,0
7,4,96.151,3.5118,0
7,5,127.75,3.7325,0
7,6,89.712,3.8488,1
7,7,133.84,3.7519,0
7,8,120.49,3.6109,0
7,9,91.317,3.8681,1
7,10,144.27,3.9151,1
7,11,127.31,3.9005,1
7,12,110.08,3.9021,0
8,1,143.74,2.9668,0
8,2,111.94,3.1409,0
8,3,147.82,3.2137,1
8,4,98.507,3.1546,0
8,5,113.43,3.3026,0
8,6,130.53,3.3436,0
8,7,145.66,3.1674,0
8,8,129.06,3.0645,1
8,9,135.83,3.3478,0
8,10,95.532,3.1586,0
8,11,106.06,3.082,0
8,12,129.47,3.0977,0
9,1,98.158,2.8401,0
9,2,120.72,2.5398,0
9,3,114.1,2.5838,0
9,4,154.52,2.5322,0
9,5,120.29,2.6203,0
9,6,126.27,2.7673,0
9,7,126.43,2.7455,0
9,8,141.92,2.5633,0
9,9,104.36,2.5235,0
9,10,103.12,2.7089,0
9,11,108.08,2.7765,0
9,12,132.46,2.6637,0
10,1,86.763,3.9258,0
10,2,107.13,4.1894,0
10,3,87.478,3.8039,0
10,4,151.33,4.1622,1
10,5,125.6,4.0027,0
10,6,109.69,4.1687,0
10,7,123.43,4.2434,0
10,8,77.234,4.0277,0
10,9,138.64,4.1403,0
10,10,136.52,4.2185,0
10,11,93.89,4.0603,0
10,12,135.67,4.244,1
11,1,130.9,2.7105,1
11,2,105.62,2.6845,0
11,3,111.54,2.619,0
11,4,122.54,2.7993,0
11,5,142.45,2.8799,0
11,6,105.84,2.6998,0
11,7,133.58,2.6979,0
11,8,123.48,2.6995,0
11,9,126.3,2.6805,0
11,10,116.11,2.6492,0
11,11,120.49,2.778,1
11,12,120.61,2.5415,1
12,1,94.643,3.0076,0
12,2,94.039,3.0157,0
12,3,118.31,2.9134,0
12,4,86.122,3.2573,0
12,5,87.607,2.9245,0
12,6,108.24,3.0272,1
12,7,108.16,2.8619,1
12,8,102.75,2.8465,0
12,9,87.942,3.0262,0
12,10,110.06,3.2193,0
12,11,122.7,2.9965,0
12,12,112.86,3.0303,0
13,1,114.27,3.6555,0
13,2,118.56,3.5526,0
13,3,128.05,3.7311,0
13,4,117.59,3.6506,1
13,5,89.049,3.7684,0
13,6,107.95,3.5953,0
13,7,128.96,3.5508,1
13,8,118.7,3.4516,0
13,9,121.37,3.6906,1
13,10,124.72,3.7493,0
13,11,81.689,3.8969,1
13,12,105.11,3.7172,0
14,1,69.135,0.71948,0
14,2,130.85,0.59455,0
14,3,103.51,0.65469,0
14,4,81.9,0.79626,0
14,5,76.396,0.9742,0
14,6,133.82,0.8054,0
14,7,91.934,0.85736,0
14,8,142.74,1.034,0
